Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction
Non Emptying,69.4,36.8,5,60.7,21.9,71.4,64.6,Silvertop-b,Non Recyclable
Non Emptying,90,60.3,8,82.9,56.1,84,46.5,Cubic,Non Recyclable
Non Emptying,75.4,61.1,5,57.4,21.7,31.3,55,Lindstrom City,Non Recyclable
Non Emptying,56.1,64.5,3,71.3,61.3,62.8,52.6,Lindstrom-b,Mixed
Emptying,80.2,41.9,6,83.1,54.6,89.4,66.6,Rectangular,Mixed
Emptying,86.1,49.7,7,98.6,20.8,85.5,51.4,Lindstrom City,Recyclable
Emptying,69.6,42.9,6,81.9,45.7,91,41.5,Accordion,Mixed
Emptying,103,54.5,6,93.6,43.8,82.9,57.9,Rectangular,Mixed
Non Emptying,63.8,33.4,4,65.9,68.8,59.6,20.3,Lindstrom-a,Mixed
Non Emptying,77.3,23.4,1,68,52,59.4,34.4,Lindstrom-a,Mixed
Non Emptying,71.3,64,2,30.1,37.7,73.7,66.2,Fiberglass Igloo-a,Mixed
Non Emptying,72.3,52.8,1,35.6,36.4,73.4,53,Malmobehallare,Mixed
Non Emptying,51.7,62.6,3,32.7,51.5,55.6,56.4,Lindstrom-a,Non Recyclable
Non Emptying,63.1,53.9,3,63.5,50.7,69.3,67.8,Lindstrom-b,Non Recyclable
Non Emptying,72.5,25.9,3,52.7,57.1,65.3,33.7,Silvertop-b,Recyclable
Emptying,83.4,36.1,8,91.7,58.6,81.5,37.3,Lindstrom-a,Mixed
Non Emptying,71.9,52.3,4,61.1,55.9,58.8,51.1,Lindstrom-b,Non Recyclable
Emptying,96.9,21.3,8,66.5,69,94.7,41.7,Fiberglass Igloo-b,Non Recyclable
Emptying,88.5,57.1,7,95.1,51.2,94.2,45.8,Lindstrom City,Mixed
Emptying,92.7,45.7,7,71.6,41.4,99.9,41.4,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,53.8,33.7,3,50.9,63,58,61.5,Fiberglass Igloo-b,Recyclable
Emptying,90.9,65.2,6,64.6,39.2,87.6,23.8,Diamond,Mixed
Non Emptying,67.2,52.6,5,66.5,61.9,36.7,30.7,Accordion,Non Recyclable
Emptying,63.8,43,6,87.6,34.1,81.6,46.4,Malmobehallare,Recyclable
Emptying,89.3,34.3,6,89.2,40.3,84.9,44.4,Malmobehallare,Mixed
Emptying,80.8,58.5,6,89,40.2,99.2,38.2,Silvertop-a,Recyclable
Emptying,88.3,23.2,8,94.3,68.5,85.7,40.2,Silvertop-b,Mixed
Non Emptying,70.9,27.8,3,62.4,64.9,51.2,53.8,Lindstrom-a,Mixed
Non Emptying,51.6,55.4,3,53.5,22.7,68.8,54.6,Silvertop-a,Mixed
Non Emptying,55,36.1,3,34.1,23.3,33.9,52.9,BIM-3 FTI bottentomd,Non Recyclable
Emptying,72.3,43.6,6,72,44.6,71.8,31.3,Silvertop-b,Non Recyclable
Emptying,94.5,62.7,6,92.5,42.6,92.1,61.3,Lindstrom City,Non Recyclable
Non Emptying,56.3,66.4,3,61.6,56.3,70,37.8,Lindstrom City,Non Recyclable
Non Emptying,78.1,30.3,3,63.3,34,74.5,53.6,Fiberglass Igloo-a,Recyclable
Non Emptying,,51.7,4,63.3,61.3,50.5,21.9,Cubic,Mixed
Non Emptying,33,30.3,2,60.3,64.5,35.2,25.5,Silvertop-b,Recyclable
Emptying,90.1,54.8,7,70.5,65.2,96.6,50.2,Malmobehallare,Recyclable
Non Emptying,60.9,36.6,4,61.8,63,35,53.4,Fiberglass Igloo-a,Non Recyclable
Non Emptying,62.3,34.3,3,59.6,35.4,74,34.2,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,36.2,33.5,1,56.9,56.1,35.2,51.8,Lindstrom-b,Recyclable
Emptying,81.6,52,8,100,41.4,74.4,23.7,Lindstrom-a,Mixed
Non Emptying,70.8,50,2,51.6,36.9,56.6,30.4,Rectangular Farmland,Mixed
Non Emptying,30.2,58.1,1,30.7,58.3,62,56,Accordion,Mixed
Emptying,91.8,27.6,9,75.6,40.4,99.4,36.7,Diamond,Recyclable
Non Emptying,67.1,34.5,3,32.9,60.5,69.2,53.3,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,32.2,38.3,4,58.8,58,54.3,26.2,Silvertop-a,Non Recyclable
Non Emptying,53.1,37.5,1,60.1,52.2,67.5,31.6,Lindstrom-b,Recyclable
Emptying,92.5,38.3,6,64.1,29.3,90.4,40.2,Rectangular,Non Recyclable
Emptying,92.7,28.9,8,94.9,23.8,63,58.7,Silvertop-a,Non Recyclable
Non Emptying,35.1,20.7,1,62.1,25,67.3,58.4,Cubic,Non Recyclable
Emptying,97.3,22.3,9,73.4,59.1,73.7,52.1,Malmobehallare,Non Recyclable
Non Emptying,55.7,57.4,4,50.8,31.2,51.4,50,Lindstrom City,Non Recyclable
Non Emptying,37,54.2,4,73,60.6,53.2,66.1,Malmobehallare,Mixed
Emptying,91,31.5,6,86,50,69.2,41,Silvertop-b,Mixed
Non Emptying,53.9,58.2,,36.5,50.4,60.9,61.4,Lindstrom City,Recyclable
Non Emptying,52.1,54.5,4,51.4,50.2,68.7,68.6,Malmobehallare,Mixed
Non Emptying,72.8,59,4,64.9,35.4,52.8,33.7,Lindstrom-a,Non Recyclable
Non Emptying,61.6,51.4,2,31.7,63.2,54.9,33,Cubic,Non Recyclable
Emptying,93.7,53.2,6,68.2,57.8,74,58.6,Lindstrom-b,Recyclable
Non Emptying,67.9,55,2,56.4,35.3,54.8,63.3,Rectangular,Non Recyclable
Emptying,84.7,20.1,9,69.9,61.3,67.9,67.9,Fiberglass Igloo-a,Recyclable
Non Emptying,63.8,58.1,1,69.1,30.6,50.9,39,Fiberglass Igloo-b,Non Recyclable
Non Emptying,69.4,21.3,1,64.5,63.2,52.5,57.1,Fiberglass Igloo-b,Mixed
Non Emptying,64.9,54.9,3,50.4,60.2,79.5,58.6,Rectangular Farmland,Non Recyclable
Non Emptying,38.8,54.4,3,57.9,55.5,64.1,63.5,Rectangular,Recyclable
Emptying,,30.5,7,74.4,54.7,80.1,64.8,Fiberglass Igloo-b,Non Recyclable
Emptying,96,51,9,83.1,33.9,67.1,43.3,Diamond,Mixed
Non Emptying,53.7,35.9,5,61,21.9,33.7,33.1,Lindstrom-b,Recyclable
Emptying,96.9,40,6,64.7,42.5,82.9,44.8,Diamond,Non Recyclable
Emptying,69.9,53.4,6,92.6,52.7,86.4,51.2,Fiberglass Igloo-b,Non Recyclable
Non Emptying,50.2,63.7,2,59.2,32.9,80,25.1,Lindstrom-b,Mixed
Non Emptying,68.8,32.5,5,64.6,38,64.1,53.6,Lindstrom City,Non Recyclable
Non Emptying,31.6,34.7,5,51.5,21.1,70.3,31.4,Diamond,Recyclable
Emptying,92.2,42.8,6,82.2,44.3,64.8,56.1,Rectangular,Recyclable
Non Emptying,60.5,36.3,3,62.6,51.6,66.6,21.8,Malmobehallare,Non Recyclable
Non Emptying,57.4,55.3,1,70,62.3,58.2,54.9,Diamond,Non Recyclable
Non Emptying,63.7,66.4,4,50.7,38.8,57.9,54.4,Silvertop-a,Recyclable
Emptying,95.3,62.5,6,71.8,34.8,93.1,36,BIM-3 FTI bottentomd,Non Recyclable
Emptying,88.7,53.6,6,82,52.8,87.3,45.2,Lindstrom-b,Non Recyclable
Emptying,92.4,69.7,6,95.3,50.6,90,44.1,Lindstrom City,Non Recyclable
Emptying,92.6,31.6,8,72,34.2,75.7,49,Rectangular Farmland,Mixed
Non Emptying,32.9,33.3,1,62.2,38.2,33.9,51.2,Malmobehallare,Mixed
Emptying,96.2,38,6,69.8,50.8,88.8,51.7,Lindstrom-b,Mixed
Non Emptying,77.4,51.5,2,30.4,64.9,54.3,53.7,Lindstrom City,Recyclable
Emptying,93.3,40.5,8,94.8,21.2,90.7,41.8,Fiberglass Igloo-b,Non Recyclable
Non Emptying,68.5,58.4,5,79,27.6,69.9,55.2,Lindstrom-a,Mixed
Non Emptying,79.3,50.8,1,68.1,57.4,61.2,53.2,Fiberglass Igloo-a,Mixed
Non Emptying,78.1,56.9,3,38.5,33.8,51.4,32.9,Accordion,Recyclable
Non Emptying,66.1,53.6,2,73.3,56.5,67.9,58.2,Lindstrom-a,Recyclable
Emptying,81.6,55.6,9,87.2,31.7,67.6,49.8,Diamond,Recyclable
Non Emptying,75.1,54.6,2,67.2,50.5,73,51.4,Lindstrom-b,Mixed
Non Emptying,72.5,58.1,1,58.5,24.6,67.3,57.5,Lindstrom City,Non Recyclable
Non Emptying,70.6,33,5,64.4,52.5,60.3,27.5,Silvertop-b,Recyclable
Non Emptying,51,60.7,2,53.4,68.2,57.5,51.3,Lindstrom-a,Recyclable
Emptying,87.6,28,7,93.8,58.1,85.8,35.6,Malmobehallare,Recyclable
Non Emptying,83.8,49.8,6,74.4,40.9,80.3,54.3,Cubic,Non Recyclable
Emptying,82.9,68.3,7,93.9,62.2,63.8,32,Fiberglass Igloo-a,Recyclable
Non Emptying,63.8,57.2,4,58.2,32.8,62,62.7,Silvertop-b,Non Recyclable
Non Emptying,68.3,67,3,51.5,37.6,53.1,37.2,Rectangular,Mixed
Emptying,99.6,54.7,7,97.7,44.7,60.8,40.8,Accordion,Recyclable
Emptying,91.5,60.8,6,70.8,50.3,97.3,32.6,Lindstrom-b,Non Recyclable
Emptying,97.4,46.1,9,94.9,49.8,86.8,43.5,Silvertop-a,Recyclable
Non Emptying,66.4,57.9,5,57.9,53.9,65.4,52.3,BIM-3 FTI bottentomd,Recyclable
Emptying,81.5,33.3,6,93.8,62.3,91.2,59.2,Lindstrom-b,Mixed
Emptying,71.3,53.1,6,60.5,58.5,62.9,45,Fiberglass Igloo-a,Recyclable
Non Emptying,54.7,54.2,1,59.1,50.4,51.3,68.1,Cubic,Mixed
Non Emptying,63.6,52.4,3,65,35.5,60.3,20.5,Malmobehallare,Non Recyclable
Emptying,68,31.1,9,81,37.3,61,20,Silvertop-b,Non Recyclable
Non Emptying,53,37,3,66.2,50.1,54,22.1,Silvertop-a,Non Recyclable
Non Emptying,54,54.4,2,30.9,35.6,77.1,23.2,Fiberglass Igloo-a,Non Recyclable
Non Emptying,55.9,13.8,2,51,52.1,63.9,63,Lindstrom City,Non Recyclable
Emptying,80.1,31.7,6,92.7,55.9,60.9,67.1,Silvertop-b,Mixed
Non Emptying,33.3,56,4,57.3,33.1,60,52.7,Cubic,Non Recyclable
Non Emptying,32.3,62.7,4,77.5,55.9,69.1,34.2,Silvertop-b,Mixed
Emptying,97.8,45.4,6,80.9,43.6,91,52.8,Malmobehallare,Mixed
Non Emptying,32.6,36,1,79.6,36.5,50.2,38.5,Lindstrom-a,Mixed
Non Emptying,71.8,30.2,1,52.2,64.4,69.9,56,Lindstrom-a,Non Recyclable
Non Emptying,58.5,55.2,2,67.2,34.6,61.4,22.9,Malmobehallare,Recyclable
Non Emptying,53.3,24.3,1,36.6,51.9,35.7,37.3,Lindstrom City,Recyclable
Non Emptying,66.3,38.7,4,30.3,66.6,38.3,34,Lindstrom-a,Mixed
Emptying,83.8,57.1,7,75.2,48.8,67.7,21.8,Malmobehallare,Non Recyclable
Emptying,92.3,42.9,6,95.6,41.4,79,49.3,Rectangular Farmland,Non Recyclable
Emptying,88.2,40.2,6,89.2,56.2,87.3,25.3,Lindstrom-b,Mixed
Emptying,81.3,43,6,63.4,68.8,82.8,51.1,Rectangular,Mixed
Non Emptying,74,57.6,4,52.6,52.2,69,68.3,Malmobehallare,Non Recyclable
Emptying,94.3,59.8,6,70,60.3,99.1,48.7,Diamond,Recyclable
Non Emptying,61,37,4,53.4,50.8,65.7,68,Accordion,Mixed
Non Emptying,58.1,31.4,4,31.2,65,51.6,55,Diamond,Recyclable
Non Emptying,70.6,65.3,1,54.4,23.6,71.8,26.6,BIM-3 FTI bottentomd,Mixed
Non Emptying,33.5,51,4,63.2,61.1,33.9,66.3,Lindstrom-a,Recyclable
Emptying,67,51,6,85.1,40.7,99.1,44.5,Accordion,Recyclable
Non Emptying,64.2,52.5,5,61.1,66.5,32.1,50.9,Rectangular Farmland,Mixed
Emptying,91.1,31.2,7,70.9,44.5,99.9,52.1,Lindstrom City,Recyclable
Emptying,63.5,62.5,6,94.3,31.4,90,61.9,Accordion,Recyclable
Emptying,90.8,22.9,8,91.7,40.8,71.1,63,BIM-3 FTI bottentomd,Recyclable
Non Emptying,30.4,22.4,1,66.6,52.6,65.1,55.6,Malmobehallare,Non Recyclable
Non Emptying,52.4,30.3,1,32,23.7,31.5,62.9,Cubic,Mixed
Non Emptying,79.7,59,3,50.8,34,56.4,58.6,Silvertop-a,Non Recyclable
Emptying,70,45.7,6,82.2,45.6,98.6,34.9,Silvertop-a,Non Recyclable
Non Emptying,53.8,53.2,1,31.8,61.2,61.3,67.1,Rectangular,Mixed
Non Emptying,33.6,50.7,5,30.9,62.3,71.6,24.4,Lindstrom-b,Mixed
Non Emptying,65.2,38.4,2,60.8,58.6,50.9,65.7,Rectangular Farmland,Recyclable
Non Emptying,54.6,56.1,4,61.4,37.3,71.8,35.3,Silvertop-a,Non Recyclable
Non Emptying,53.3,50.9,4,56.9,23.5,68.8,54.2,Fiberglass Igloo-a,Recyclable
Non Emptying,71.7,61.8,5,74.4,52.4,52,63.5,Silvertop-a,Recyclable
Non Emptying,60.9,22.9,2,76.4,28.1,72.8,60.1,Silvertop-b,Mixed
Non Emptying,73.8,55.8,3,61.3,54,58.6,61.7,Lindstrom-a,Recyclable
Emptying,90,24.7,7,60,49.2,80.4,42.4,Diamond,Non Recyclable
Non Emptying,67.5,20.5,3,63.1,68.3,31.4,30.6,Rectangular Farmland,Recyclable
Emptying,82.6,50,7,90.3,69.6,86.1,47.3,Rectangular,Mixed
Non Emptying,31.7,52.7,1,77.3,56.6,34.7,37.3,Lindstrom-a,Recyclable
Emptying,89.9,63.8,6,96.3,52.5,61,48.7,Accordion,Recyclable
Non Emptying,56.6,30,1,75.6,35.6,61.6,38,Lindstrom City,Non Recyclable
Non Emptying,66.7,67.5,4,63.3,30.1,60,61.2,Lindstrom-a,Non Recyclable
Non Emptying,58.9,20.5,4,68.7,38.7,57.5,51.4,BIM-3 FTI bottentomd,Mixed
Emptying,78.4,34.2,9,94.6,24.6,92,50.2,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,68.4,68.5,2,34.6,67.8,73.4,36.9,Fiberglass Igloo-a,Recyclable
Emptying,93.4,40.3,,62.3,53.1,60.8,65.3,Malmobehallare,Non Recyclable
Emptying,84.5,65.4,7,88.4,33.8,95.5,51.3,Malmobehallare,Non Recyclable
Emptying,70,43,9,88.7,55.6,100,32.1,Rectangular Farmland,Recyclable
Emptying,73.3,60,6,65.2,34.6,84.3,41.7,Rectangular,Recyclable
Non Emptying,51.9,37.2,2,50.1,36.4,58,67.2,Accordion,Non Recyclable
Emptying,83.4,35.9,6,74.7,22.5,76.8,42.5,Silvertop-b,Non Recyclable
Emptying,80.9,43.7,6,93.7,57.1,92.4,65,Fiberglass Igloo-a,Mixed
Emptying,93.2,53.2,6,73.5,25.9,95,63.1,Lindstrom-b,Non Recyclable
Emptying,77.5,43.7,8,84.1,51.4,96.7,42,Silvertop-a,Mixed
Non Emptying,61,36.4,2,53.8,31.4,68.5,34.8,Diamond,Non Recyclable
Emptying,71.3,61.2,7,81.1,35.8,80,26.7,Rectangular Farmland,Non Recyclable
Emptying,81.1,39.8,6,90.5,50,62.5,38.9,Fiberglass Igloo-a,Mixed
Non Emptying,64.6,60.8,4,51,50.9,61.3,33.9,Rectangular,Mixed
Emptying,82.4,40.8,8,63.4,56.6,91.5,64.4,Lindstrom-a,Non Recyclable
Emptying,96.5,21.5,6,61.5,63.6,80.5,34,Lindstrom-a,Non Recyclable
Emptying,93.8,43.6,9,85.5,40.1,67.6,35.9,Lindstrom-b,Mixed
Non Emptying,61.2,31.3,1,50.2,34.6,58.3,24.5,Lindstrom City,Recyclable
Non Emptying,32,66.2,1,69.8,21.4,59.3,30.7,Rectangular,Mixed
Emptying,92.5,50.2,6,64.1,36.7,93.6,39.9,Fiberglass Igloo-b,Mixed
Emptying,80.3,68,,73,33.4,95.7,36.2,Fiberglass Igloo-a,Recyclable
Emptying,72.7,54.8,9,93.3,50.6,90,59.4,Fiberglass Igloo-a,Non Recyclable
Emptying,91.2,41.2,7,60.1,41.1,97.3,41,Fiberglass Igloo-b,Non Recyclable
Non Emptying,77.6,62.3,5,67.3,38.8,57.5,53,Malmobehallare,Non Recyclable
Non Emptying,53.7,55.3,3,78.6,21.2,56.2,36.6,Cubic,Recyclable
Emptying,65.8,48.4,6,80.9,64.9,61.3,31.8,Rectangular,Mixed
Non Emptying,71.7,36.6,5,75.1,52.4,73.8,33.7,Silvertop-b,Non Recyclable
Emptying,72.6,61.4,6,80.2,31.2,70.1,20.6,Fiberglass Igloo-a,Non Recyclable
Emptying,100,62.2,6,75.9,53.3,98.6,38.7,Cubic,Recyclable
Non Emptying,31,32.8,3,73.3,25.6,54.6,31.1,Silvertop-b,Mixed
Non Emptying,64.2,25.6,4,75.7,23.9,38.7,21.9,Diamond,Recyclable
Emptying,72.4,53.9,7,75.5,51.9,81.5,40.5,Silvertop-b,Recyclable
Emptying,66.4,66.5,6,90.2,52.8,71.5,65.5,Diamond,Non Recyclable
Emptying,93.7,46.7,6,76.1,50.3,93.9,26.1,Lindstrom-a,Non Recyclable
Emptying,84.6,45.5,6,96.1,24.1,95.4,20,Lindstrom City,Non Recyclable
Non Emptying,53.5,37.8,5,70.7,65.6,57.5,67,Cubic,Recyclable
Emptying,78.3,43.9,7,79.9,28.8,77.9,26.3,Fiberglass Igloo-a,Recyclable
Emptying,63.1,23.4,6,98.2,41.9,87.4,53.9,Lindstrom-a,Non Recyclable
Non Emptying,50.6,64.2,3,33.7,35,67.6,33.9,Silvertop-a,Mixed
Non Emptying,50.9,28.2,2,62.8,32.3,70.2,53.9,Fiberglass Igloo-b,Mixed
Non Emptying,61.9,51,3,59.3,37.8,58.8,60.3,Rectangular,Non Recyclable
Emptying,94.5,43.6,6,66.6,26.4,99.7,43.2,BIM-3 FTI bottentomd,Recyclable
Non Emptying,62.3,53.3,2,59.4,20.3,36.4,62.5,Lindstrom City,Non Recyclable
Non Emptying,52.2,68.9,4,53.1,53.9,79.8,52.2,Rectangular,Recyclable
Emptying,91.4,51.2,9,91.1,57.9,87.4,67.5,Cubic,Mixed
Emptying,95.6,30.9,,90,23,79.6,38.6,Diamond,Mixed
Non Emptying,60.3,54.3,5,38.4,54.2,33.7,51.8,Cubic,Recyclable
Emptying,91.3,50,6,63.9,52.3,96.4,37.2,Fiberglass Igloo-a,Mixed
Emptying,88.1,63.1,9,86.1,45.3,83,56.8,Accordion,Recyclable
Non Emptying,57,52.3,4,58.5,37.9,60.4,64.7,Rectangular,Mixed
Non Emptying,62.8,34.7,2,76.4,57.2,61.4,39,Fiberglass Igloo-b,Recyclable
Emptying,94.1,54.4,,82.2,60.6,70.8,35.4,Fiberglass Igloo-b,Mixed
Emptying,73.4,53.1,9,89.6,20.5,76.5,69.2,Rectangular Farmland,Mixed
Emptying,77.7,25.2,9,82.8,33.3,72,58.7,Malmobehallare,Mixed
Non Emptying,61.4,50.7,3,62.2,35.3,50.3,50.2,Fiberglass Igloo-a,Mixed
Emptying,80.8,31.2,8,89,69.8,95.7,49.1,Lindstrom-a,Non Recyclable
Emptying,90.3,28.2,8,63.8,41.2,93.5,40.4,Fiberglass Igloo-b,Non Recyclable
Non Emptying,65.4,34.4,5,58.8,32.4,62.7,67.6,Malmobehallare,Mixed
Non Emptying,66.2,51.9,5,34.3,63.4,50.3,23.2,Fiberglass Igloo-b,Mixed
Emptying,83.7,20.4,6,67.2,50.5,64.2,42,Silvertop-a,Recyclable
Emptying,63.5,35.9,6,63.3,32.4,82.6,43.4,BIM-3 FTI bottentomd,Mixed
Non Emptying,66,59,1,65.9,26.1,68.3,37.7,Rectangular,Recyclable
Non Emptying,72.9,63.8,2,58.6,22.6,53,53.5,Accordion,Non Recyclable
Non Emptying,39.7,33.4,2,68.6,36,67,62.9,Silvertop-b,Mixed
Non Emptying,73.1,30.9,2,38.8,31.6,64,38.5,Lindstrom-b,Non Recyclable
Emptying,92.5,58.5,,88,34,72.2,54.4,Fiberglass Igloo-b,Recyclable
Non Emptying,50.6,52,3,38.9,21.8,61.5,20.8,Lindstrom-a,Recyclable
Emptying,97.4,51.8,6,64.8,34.1,87.1,30.6,Lindstrom-a,Non Recyclable
Non Emptying,50.3,35.2,1,39.8,62.6,50.9,30.1,BIM-3 FTI bottentomd,Recyclable
Non Emptying,56.3,64.1,2,66.1,37.3,32,35.6,Rectangular,Mixed
Emptying,99.1,60.7,6,62.3,57.7,67.2,56,Silvertop-a,Recyclable
Emptying,84.4,30.4,6,87.4,44.5,78.8,56.5,Cubic,Mixed
Emptying,71.5,57.5,7,92.4,42,88.6,35.4,Rectangular Farmland,Mixed
Non Emptying,71.6,38.3,5,58.5,54.8,58.9,38.4,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,67.6,35.8,1,60.5,37.6,51.4,68,Cubic,Mixed
Emptying,91.6,43.9,7,99.1,53.6,93.4,54.7,Silvertop-a,Non Recyclable
Emptying,62.1,53.7,6,66.8,41.8,81.1,58.2,Lindstrom-a,Recyclable
Non Emptying,65.2,54.3,2,64.3,60.2,62.6,33.4,Lindstrom-a,Non Recyclable
Emptying,75.8,46.2,7,90.4,64.1,61.6,49.9,Cubic,Recyclable
Emptying,82.3,24.5,7,95.6,54.5,100,56.2,Lindstrom City,Non Recyclable
Emptying,96.8,53.5,8,91.4,54.2,94.4,36.9,Malmobehallare,Recyclable
Emptying,81,58,6,94.7,58.3,89.1,40.4,Lindstrom City,Recyclable
Emptying,81.1,45.2,9,82.9,53.2,68.7,59.3,Fiberglass Igloo-b,Recyclable
Emptying,99.5,51.9,9,70.9,51.8,85.2,44.9,Silvertop-a,Mixed
Emptying,74.6,36.5,7,88,34.8,82.2,46.1,Diamond,Non Recyclable
Emptying,81.4,51.3,6,82.3,21.7,82.4,22,Fiberglass Igloo-a,Mixed
Emptying,90,20.5,7,92.9,44.1,99.3,35.7,Lindstrom-b,Non Recyclable
Emptying,85.1,60,8,65.2,58.3,95.4,68.2,Lindstrom-a,Recyclable
Non Emptying,32.6,35.6,1,75.1,34.7,71.2,63.3,Fiberglass Igloo-b,Mixed
Non Emptying,32.5,33.1,1,61,22.8,53.1,26.3,Cubic,Non Recyclable
Non Emptying,51.1,50.2,1,52,66.4,51.2,51.9,Cubic,Non Recyclable
Non Emptying,60.9,28.5,3,31.3,63.6,52.1,23,Lindstrom-a,Non Recyclable
Non Emptying,53.5,55.1,5,77.2,32.5,78,38.1,Fiberglass Igloo-b,Mixed
Non Emptying,35.5,38.1,1,33.1,32.2,61.9,50.7,Silvertop-a,Mixed
Emptying,90.9,23.9,9,94.6,48.1,90.5,40,Rectangular Farmland,Non Recyclable
Non Emptying,60.7,28.3,5,79,25.7,30,55.4,Lindstrom-b,Mixed
Emptying,67.1,66.3,8,91.9,68.2,74.3,22.4,Rectangular,Recyclable
Non Emptying,56.1,30.9,3,67.1,52.9,69.3,32.3,Silvertop-b,Non Recyclable
Emptying,86.3,22.2,6,75.4,54.7,97.7,57.7,Cubic,Recyclable
Non Emptying,90.1,30.8,,91.7,43.6,93.1,33.9,Silvertop-a,Non Recyclable
Emptying,94.8,58.8,7,93.9,38.5,61.7,42.8,Silvertop-a,Recyclable
Non Emptying,64.2,54.3,3,69.3,33.8,55.1,60.4,Rectangular,Mixed
Emptying,88.7,49.9,6,90,58.4,80.5,48.8,Fiberglass Igloo-b,Recyclable
Emptying,84.5,29,8,91.2,30.5,70.6,38.3,Cubic,Mixed
Emptying,82.1,32.7,8,92.7,40.8,68.2,34.6,Silvertop-b,Mixed
Non Emptying,34.4,58.7,4,60.1,20.2,64.3,33.4,Lindstrom-b,Non Recyclable
Emptying,76.6,52.6,7,60.1,35.4,74,37,Lindstrom City,Non Recyclable
Emptying,98.1,32.2,6,70.6,41.1,93,29.7,Fiberglass Igloo-a,Mixed
Non Emptying,67.4,35.8,5,55.2,32,60.6,60.4,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,51.9,55.2,4,35.5,21.9,72,52.8,Fiberglass Igloo-a,Mixed
Non Emptying,36.1,65.2,4,75.2,56.8,71.4,50,Lindstrom City,Mixed
Non Emptying,61.4,23.8,4,50.5,20.6,38.5,22.4,Silvertop-a,Non Recyclable
Non Emptying,54.2,55.4,1,32.7,36.8,64.6,23.6,Fiberglass Igloo-a,Recyclable
Emptying,96.8,67.5,8,85.7,42.7,63.4,45.6,Malmobehallare,Recyclable
Non Emptying,61.2,26.5,1,60.9,56.3,34.1,53.7,Silvertop-b,Non Recyclable
Emptying,92.5,47.6,6,87.6,54.9,78.4,56.3,Lindstrom-a,Non Recyclable
Emptying,99.4,53,8,88.1,50.1,77.7,37.9,Fiberglass Igloo-b,Mixed
Non Emptying,64.4,55.1,2,60.8,32.1,34.1,26.8,Fiberglass Igloo-b,Non Recyclable
Non Emptying,50.6,58.3,4,54.9,60.4,58.9,34.3,Lindstrom-a,Recyclable
Emptying,81.6,44.7,7,74.6,57.2,87.8,53.7,Cubic,Mixed
Non Emptying,75.6,31,2,67,35.8,64,53.1,Silvertop-a,Recyclable
Non Emptying,67.3,32.1,2,65.7,53.5,65.1,27.4,Lindstrom-b,Non Recyclable
Emptying,67.3,39.5,9,71,59.9,62.8,40.7,Lindstrom City,Mixed
Emptying,73.6,45.1,8,62.4,46.6,80,58.1,Malmobehallare,Non Recyclable
Non Emptying,71.1,31.3,5,63.1,57.9,71.7,54.7,Lindstrom City,Mixed
Non Emptying,66.5,22,5,62.9,68.8,50.1,32.1,Cubic,Recyclable
Emptying,94.2,40.5,8,72.1,31.4,65.6,57.6,Diamond,Recyclable
Non Emptying,60.6,55.6,4,79.3,55.9,60.7,34.5,Fiberglass Igloo-a,Mixed
Non Emptying,70.3,35,5,57.7,24.8,76.5,63.9,Malmobehallare,Non Recyclable
Non Emptying,57.8,30.4,4,65,36.7,55.5,37.2,Accordion,Non Recyclable
Non Emptying,69.7,23.9,4,30.2,34.7,68.2,38.6,Rectangular,Non Recyclable
Non Emptying,50.4,55.6,3,74.2,34.5,59.5,22.1,Silvertop-b,Non Recyclable
Non Emptying,69.3,52.2,5,62.5,57.1,64.8,54.7,Fiberglass Igloo-a,Mixed
Non Emptying,66.9,50.6,1,59.3,50.6,65.5,51.3,Lindstrom-b,Non Recyclable
Non Emptying,50.6,60.2,4,76.9,35.5,68.9,54,Lindstrom-b,Mixed
Non Emptying,50.4,50.5,5,64.9,25,63.4,26.2,Silvertop-b,Recyclable
Emptying,93.6,55.9,6,99.3,44,72,60.1,Diamond,Recyclable
Non Emptying,56.4,36.2,1,50.7,25.1,51.9,36.1,Cubic,Recyclable
Non Emptying,32.8,58,3,62.4,52.5,58.7,51.2,Fiberglass Igloo-b,Mixed
Non Emptying,39.1,57,2,53.7,51.4,50.3,50.3,Lindstrom City,Non Recyclable
Non Emptying,64.6,56.8,5,51.1,54.4,52.2,54.5,Cubic,Non Recyclable
Emptying,60.7,47.1,9,90.8,38.1,66.6,23.5,Rectangular Farmland,Recyclable
Non Emptying,72.3,63.2,4,65.3,61.8,64.8,64.7,Rectangular,Recyclable
Non Emptying,51,36.8,3,55.9,28.2,69.5,31.5,Diamond,Mixed
Non Emptying,62,54.3,4,69,56.2,73,35.5,Lindstrom-a,Recyclable
Emptying,83,21.8,7,77.1,41.9,83.1,31.5,Lindstrom-b,Mixed
Emptying,63.9,58.4,8,98.7,46.8,94.1,56.1,Rectangular,Recyclable
Non Emptying,70,54.9,3,50.6,52.6,35.3,21.5,Accordion,Mixed
